name,description,category,price,sale_price,discount,unit,image,bar_code,quantity,min_quantity
Product 1,Description for Product 1,Health,334.73,50.51,42,шт,https://example.com/images/product1.jpg,1234567890001,89,10
Product 2,Description for Product 2,Grocery,181.2,249.8,21,кг,https://example.com/images/product2.jpg,1234567890002,12,6
Product 3,Description for Product 3,Electronics,276.92,75.83,21,кг,https://example.com/images/product3.jpg,1234567890003,36,8
Product 4,Description for Product 4,Books,406.4,430.85,36,кг,https://example.com/images/product4.jpg,1234567890004,19,7
Product 5,Description for Product 5,Fashion,175.02,256.62,47,шт,https://example.com/images/product5.jpg,1234567890005,94,10
Product 6,Description for Product 6,Books,239.48,243.86,28,кг,https://example.com/images/product6.jpg,1234567890006,27,7
Product 7,Description for Product 7,Home,257.68,341.87,9,кг,https://example.com/images/product7.jpg,1234567890007,87,2
Product 8,Description for Product 8,Sports,204.05,205.05,32,кг,https://example.com/images/product8.jpg,1234567890008,6,7
Product 9,Description for Product 9,Books,40.65,369.8,36,шт,https://example.com/images/product9.jpg,1234567890009,91,6
Product 10,Description for Product 10,Fashion,444.98,399.72,41,шт,https://example.com/images/product10.jpg,1234567890010,74,5
Product 11,Description for Product 11,Toys,312.94,126.73,22,кг,https://example.com/images/product11.jpg,1234567890011,82,5
Product 12,Description for Product 12,Home,126.48,300.99,29,кг,https://example.com/images/product12.jpg,1234567890012,27,6
Product 13,Description for Product 13,Books,290.19,241.29,49,кг,https://example.com/images/product13.jpg,1234567890013,30,8
Product 14,Description for Product 14,Automotive,76.15,248.35,13,кг,https://example.com/images/product14.jpg,1234567890014,64,2
Product 15,Description for Product 15,Health,495.85,189.57,6,шт,https://example.com/images/product15.jpg,1234567890015,53,5
Product 16,Description for Product 16,Electronics,99.63,44.97,38,шт,https://example.com/images/product16.jpg,1234567890016,37,3
Product 17,Description for Product 17,Electronics,86.82,30.6,29,кг,https://example.com/images/product17.jpg,1234567890017,7,7
Product 18,Description for Product 18,Toys,56.14,52.21,12,шт,https://example.com/images/product18.jpg,1234567890018,91,1
Product 19,Description for Product 19,Grocery,459.19,168.1,31,кг,https://example.com/images/product19.jpg,1234567890019,79,3
Product 20,Description for Product 20,Grocery,410.55,428.51,14,шт,https://example.com/images/product20.jpg,1234567890020,99,7
Product 21,Description for Product 21,Books,398.49,365.57,8,кг,https://example.com/images/product21.jpg,1234567890021,24,4
Product 22,Description for Product 22,Fashion,265.44,320.64,38,кг,https://example.com/images/product22.jpg,1234567890022,87,2
Product 23,Description for Product 23,Automotive,345.88,383.92,47,кг,https://example.com/images/product23.jpg,1234567890023,21,5
Product 24,Description for Product 24,Sports,245.83,380.88,40,шт,https://example.com/images/product24.jpg,1234567890024,49,5
Product 25,Description for Product 25,Books,155.86,276.81,29,кг,https://example.com/images/product25.jpg,1234567890025,8,1
Product 26,Description for Product 26,Beauty,424.59,326.67,42,шт,https://example.com/images/product26.jpg,1234567890026,13,6
Product 27,Description for Product 27,Automotive,147.2,45.79,14,шт,https://example.com/images/product27.jpg,1234567890027,14,3
Product 28,Description for Product 28,Sports,152.72,224.41,48,кг,https://example.com/images/product28.jpg,1234567890028,12,4
Product 29,Description for Product 29,Health,204.87,430.6,8,шт,https://example.com/images/product29.jpg,1234567890029,26,1
Product 30,Description for Product 30,Automotive,280.42,102.88,19,кг,https://example.com/images/product30.jpg,1234567890030,100,5
Product 31,Description for Product 31,Health,283.69,143.75,18,шт,https://example.com/images/product31.jpg,1234567890031,70,7
Product 32,Description for Product 32,Sports,34.62,116.63,32,шт,https://example.com/images/product32.jpg,1234567890032,93,2
Product 33,Description for Product 33,Electronics,304.58,408.48,20,кг,https://example.com/images/product33.jpg,1234567890033,15,7
Product 34,Description for Product 34,Home,21.37,140.82,25,кг,https://example.com/images/product34.jpg,1234567890034,18,5
Product 35,Description for Product 35,Automotive,487.85,183.62,5,шт,https://example.com/images/product35.jpg,1234567890035,94,2
Product 36,Description for Product 36,Sports,134.77,95.5,46,шт,https://example.com/images/product36.jpg,1234567890036,11,1
Product 37,Description for Product 37,Grocery,337.63,165.21,37,кг,https://example.com/images/product37.jpg,1234567890037,78,8
Product 38,Description for Product 38,Books,91.65,86.48,48,кг,https://example.com/images/product38.jpg,1234567890038,45,9
Product 39,Description for Product 39,Grocery,290.82,265.56,8,кг,https://example.com/images/product39.jpg,1234567890039,74,8
Product 40,Description for Product 40,Health,192.67,167.5,48,шт,https://example.com/images/product40.jpg,1234567890040,15,4
Product 41,Description for Product 41,Electronics,275.04,135.92,28,кг,https://example.com/images/product41.jpg,1234567890041,80,7
Product 42,Description for Product 42,Toys,273.79,302.84,18,кг,https://example.com/images/product42.jpg,1234567890042,99,4
Product 43,Description for Product 43,Toys,425.08,244.69,48,кг,https://example.com/images/product43.jpg,1234567890043,45,2
Product 44,Description for Product 44,Sports,482.66,423.17,10,кг,https://example.com/images/product44.jpg,1234567890044,82,1
Product 45,Description for Product 45,Home,276.21,183.56,13,кг,https://example.com/images/product45.jpg,1234567890045,94,3
